optimizer,family,alpha_group,alpha_other,n,mean_bpb,mean_gain_vs_raw,gain_ci95_half,positive_seed_count,min_gain,max_gain
pure_adamw,structured_grid,0.75,0.375,5,1.14501450226835,0.0009367952613232866,0.00024541369172127004,5,0.0007023693944214759,0.001209698470444387
pure_adamw,structured_grid,0.75,0.5,5,1.1450510076833602,0.0009002898463130737,0.0002367025146518286,5,0.0006612306897884057,0.0011571055073966718
pure_adamw,structured_grid,0.75,0.625,5,1.145123265815345,0.0008280317143285032,0.00023768243886916737,5,0.0005916409390192001,0.0010889558226465645
pure_adamw,structured_grid,0.75,0.75,5,1.145242784830431,0.0007085126992423252,0.00022962426785812915,5,0.0004903096578308119,0.0009787372712666276
pure_adamw,structured_grid,0.75,0.875,5,1.1453936116061834,0.000557685923489748,0.00023224608515226474,5,0.0003202936754482799,0.0008181335783596921
pure_adamw,structured_grid,0.75,1.0,5,1.1455685910871998,0.0003827064424734683,0.0002303929930396159,5,0.00014436403292239497,0.000647491303343406
pure_adamw,structured_grid,0.875,0.0,5,1.1451445024000808,0.0008067951295924747,0.0002624771506332203,5,0.0005945188011715619,0.0011057202461437488
pure_adamw,structured_grid,0.875,0.125,5,1.14510871237174,0.0008425851579332733,0.0002725254569965196,5,0.0005861672409743779,0.0011442723036221292
pure_adamw,structured_grid,0.875,0.25,5,1.1450960180341414,0.0008552794955318799,0.0002496775164611458,5,0.000617760373766707,0.0011353771862609996
pure_adamw,structured_grid,0.875,0.375,5,1.1451195209399867,0.0008317765896866724,0.0002633935693722129,5,0.0005853250338894167,0.0011279807330271119
pure_adamw,structured_grid,0.875,0.5,5,1.1451710815654919,0.0007802159641815187,0.000280403745244432,5,0.0005127735102463671,0.0010927279219532515
pure_adamw,structured_grid,0.875,0.625,5,1.1452680906024797,0.000683206927193547,0.0002788038455689786,5,0.00042136976247064695,0.0009969272420993214
pure_adamw,structured_grid,0.875,0.75,5,1.1453852169424663,0.0005660805872070185,0.00028341199381046764,5,0.000293861795414907,0.0008772867188231448
