candidate_id,family,mean_gain_vs_raw,se_gain_vs_raw,lo95_gain_vs_raw,hi95_gain_vs_raw,mean_gain_vs_scalar,se_gain_vs_scalar,lo95_gain_vs_scalar,hi95_gain_vs_scalar
module_layer_scan|base=0.650|layer=2|module=attn|rest=0.250|target=0.450,module_layer_scan,0.00215480654373837,8.352860766236998e-05,0.001957261386616865,0.002352351700859875,8.457278068960648e-05,2.180362624118154e-05,3.300720462921214e-05,0.00013613835675000083
module_layer_scan|base=0.650|layer=3|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.0021546926328545805,8.3912455850497e-05,0.0019562396747681552,0.002353145590941006,8.445886980581714e-05,2.1242659584228077e-05,3.4219979889117735e-05,0.00013469775972251656
layer_scan|base=0.650|layer=4|rest=0.250|target=0.450,layer_scan,0.0021542204301553676,8.572221464191862e-05,0.00195148739252723,0.0023569534677835052,8.39866671066042e-05,2.1561568502718807e-05,3.299355759767422e-05,0.0001349797766155342
module_layer_scan|base=0.650|layer=1|module=attn|rest=0.250|target=0.850,module_layer_scan,0.002154174140081345,8.683156321981246e-05,0.0019488174930664885,0.0023595307870962015,8.39403770325816e-05,2.1680375355553293e-05,3.2666289316698056e-05,0.00013521446474846515
module_layer_scan|base=0.650|layer=9|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.002154099178268552,8.529916003177723e-05,0.0019523666647933988,0.002355831691743705,8.386541521978848e-05,2.0740770786686587e-05,3.48134923092747e-05,0.00013291733813030227
module_layer_scan|base=0.650|layer=2|module=attn|rest=0.250|target=0.850,module_layer_scan,0.0021528910453909264,8.762501522447682e-05,0.0019456578843850387,0.002360124206396814,8.265728234216297e-05,2.2246014468555508e-05,3.0045458124029192e-05,0.00013526910656029676
functional4|attn_out=0.550|mlp_down=0.550|mlp_up=0.750|qkv=0.750|rest=0.250,functional4,0.0021526826825004667,8.795686239491154e-05,0.001944664702936501,0.0023607006620644327,8.24489194517033e-05,2.4782006416822136e-05,2.383947427591894e-05,0.00014105836462748766
input_write_rest|input=0.750|rest=0.250|write=0.550,input_write_rest,0.0021526826825004667,8.795686239491154e-05,0.001944664702936501,0.0023607006620644327,8.24489194517033e-05,2.4782006416822136e-05,2.383947427591894e-05,0.00014105836462748766
layer_scan|base=0.650|layer=2|rest=0.250|target=0.450,layer_scan,0.0021525830497746176,8.492846187045591e-05,0.0019517272374509893,0.002353438862098246,8.234928672585422e-05,2.0128959611740057e-05,3.474429724408898e-05,0.00012995427620761946
layer_scan|base=0.650|layer=0|rest=0.250|target=0.850,layer_scan,0.0021525226896405725,8.431699599346953e-05,0.001953112994116017,0.002351932385165128,8.228892659180916e-05,1.8735843514283025e-05,3.7978656680529806e-05,0.0001265991965030885
module_layer_scan|base=0.650|layer=0|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.00215234590859954,8.688323643422165e-05,0.001946867054432606,0.0023578247627664742,8.21121455507768e-05,2.2381349526365663e-05,2.9180253920921997e-05,0.00013504403718063158
input_write_rest|input=0.550|rest=0.250|write=0.650,input_write_rest,0.002152203657164504,7.671940955983754e-05,0.0019707622535554883,0.0023336450607735195,8.196989411574053e-05,1.2567536537641315e-05,5.224767020421881e-05,0.00011169211802726224
depth_half_rest|early=0.550|late=0.650|rest=0.250,depth_half_rest,0.0021521941925047162,7.478113872405988e-05,0.0019753367994223146,0.002329051585587118,8.196042945595285e-05,1.2035724089817622e-05,5.349594198353417e-05,0.00011042491692837153
layer_scan|base=0.650|layer=11|rest=0.250|target=0.850,layer_scan,0.0021521081289967523,9.033976188038554e-05,0.0019384545921496406,0.002365761665843864,8.187436594798893e-05,2.6028722714822272e-05,2.031643672743426e-05,0.0001434322951685436
module_layer_scan|base=0.650|layer=0|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.002151187560813532,8.369531165012044e-05,0.0019532481487609973,0.0023491269728660668,8.095379776476867e-05,2.0369615884429062e-05,3.2779656198093935e-05,0.0001291279393314434
layer_scan|base=0.650|layer=2|rest=0.250|target=0.850,layer_scan,0.002150317967593912,8.779788486906137e-05,0.0019426759698785816,0.002357959965309242,8.008420454514841e-05,2.2310564385215864e-05,2.731971977411289e-05,0.00013284868931618394
